Country Name,2018,2017,2016,2015,2014
Libya,15.13%,26.68%,-2.80%,-8.86%,-24.00%
Rwanda,8.58%,3.98%,5.97%,8.86%,6.17%
Ireland,8.52%,9.13%,1.99%,25.18%,8.64%
Djibouti,8.41%,5.40%,6.65%,7.70%,7.06%
Maldives,8.13%,7.21%,6.34%,2.88%,7.33%
Bangladesh,7.86%,7.28%,7.11%,6.55%,6.06%
Nepal,7.62%,8.98%,0.43%,3.98%,6.01%
Tajikistan,7.60%,7.10%,6.90%,6.00%,6.70%
Cambodia,7.47%,6.84%,6.94%,7.12%,7.14%
Mongolia,7.25%,5.34%,1.17%,2.38%,7.89%
Gambia,7.23%,4.82%,1.94%,4.06%,-1.41%
Niger,7.22%,5.00%,5.71%,4.39%,6.64%
Vietnam,7.08%,6.81%,6.21%,6.68%,5.98%
Dominican Republic,6.98%,4.67%,6.66%,6.93%,7.05%
Antigua And Barbuda,6.95%,3.14%,5.50%,3.83%,3.80%
Ethiopia,6.82%,9.56%,9.43%,10.39%,10.26%
Myanmar,6.75%,6.41%,5.75%,6.99%,7.99%
China,6.75%,6.95%,6.85%,7.04%,7.43%
Burkina Faso,6.73%,6.20%,5.96%,3.92%,4.33%
Benin,6.70%,5.67%,3.34%,1.78%,6.36%
India,6.53%,6.80%,8.26%,8.00%,7.41%
Macao,6.47%,9.98%,-0.67%,-21.49%,-2.05%
Guinea,6.36%,10.30%,10.82%,3.83%,3.70%
Philippines,6.34%,6.93%,7.15%,6.35%,6.35%
Kenya,6.32%,4.81%,5.88%,5.72%,5.36%
Lao PDR,6.25%,6.89%,7.02%,7.27%,7.61%
Senegal,6.21%,7.41%,6.36%,6.37%,6.22%
Ghana,6.20%,8.13%,3.37%,2.12%,2.86%
Turkmenistan,6.20%,6.50%,6.20%,6.50%,10.30%
Uganda,6.16%,3.81%,4.78%,5.19%,5.11%
Monaco,6.10%,-3.40%,3.50%,4.90%,7.20%
Nauru,6.10%,-5.75%,3.57%,3.70%,26.56%
Pakistan,5.84%,5.55%,5.53%,4.73%,4.67%
"Congo, Dem. Rep.",5.82%,3.73%,2.40%,6.92%,9.47%
Turks And Caicos Islands,5.61%,-2.49%,7.25%,11.31%,8.71%
Uzbekistan,5.45%,4.46%,6.09%,7.45%,7.18%
Tanzania,5.45%,6.79%,6.87%,6.16%,6.73%
Hungary,5.40%,4.32%,2.14%,3.82%,4.23%
Poland,5.35%,4.83%,3.14%,4.24%,3.38%
Egypt,5.31%,4.18%,4.35%,4.37%,2.92%
Cyprus,5.24%,5.15%,6.44%,3.22%,-1.83%
Armenia,5.20%,7.50%,0.20%,3.20%,3.60%
Malta,5.18%,8.12%,4.09%,9.61%,7.63%
Indonesia,5.17%,5.07%,5.03%,4.88%,5.01%
Montenegro,5.08%,4.72%,2.95%,3.39%,1.78%
Togo,4.98%,4.35%,5.56%,5.74%,5.92%
Suriname,4.95%,1.57%,-4.92%,-3.41%,0.26%
Georgia,4.84%,4.84%,2.91%,3.02%,4.43%
Malaysia,4.77%,5.81%,4.45%,5.09%,6.01%
Mali,4.75%,5.31%,5.85%,6.17%,7.08%
Iceland,4.71%,4.19%,6.30%,4.44%,1.69%
Cabo Verde,4.53%,3.70%,4.71%,1.01%,0.61%
Serbia,4.50%,2.10%,3.34%,1.81%,-1.59%
Botswana,4.48%,2.90%,4.30%,-1.70%,4.15%
Romania,4.47%,7.32%,4.70%,2.95%,3.61%
Guyana,4.44%,3.73%,3.81%,0.69%,1.69%
Malawi,4.42%,4.00%,2.48%,2.80%,5.70%
Slovenia,4.38%,4.79%,3.19%,2.21%,2.77%
Estonia,4.36%,5.50%,3.19%,1.84%,2.99%
Moldova,4.30%,4.69%,4.41%,-0.34%,5.00%
Bolivia,4.22%,4.20%,4.26%,4.86%,5.46%
Cayman Islands,4.19%,3.18%,3.24%,2.83%,2.65%
Thailand,4.19%,4.18%,3.44%,3.13%,0.98%
Grenada,4.14%,4.44%,3.74%,6.44%,7.34%
Kazakhstan,4.10%,4.10%,1.10%,1.20%,4.20%
Albania,4.07%,3.80%,3.31%,2.22%,1.77%
Cameroon,4.06%,3.55%,4.65%,5.65%,5.88%
Palau,4.06%,-1.92%,-0.08%,7.54%,6.29%
Zambia,4.03%,3.50%,3.78%,2.92%,4.70%
Latvia,4.02%,3.25%,2.37%,4.01%,1.07%
Peru,3.97%,2.52%,3.95%,3.25%,2.38%
Solomon Islands,3.94%,5.34%,5.88%,1.42%,1.05%
Lithuania,3.94%,4.28%,2.52%,2.02%,3.54%
Honduras,3.85%,4.84%,3.89%,3.84%,3.06%
Kosovo,3.81%,4.23%,4.07%,4.10%,1.22%
Fiji,3.81%,5.35%,2.44%,4.50%,5.60%
Central African Republic,3.79%,4.53%,4.75%,4.34%,0.08%
Mauritius,3.76%,3.81%,3.84%,3.55%,3.74%
Kyrgyz Republic,3.76%,4.74%,4.34%,3.88%,4.02%
Bosnia,3.74%,3.17%,3.15%,3.09%,1.15%
Chile,3.71%,1.18%,1.71%,2.30%,1.77%
Slovak Republic,3.65%,2.99%,2.13%,4.81%,2.64%
Panama,3.60%,5.59%,4.95%,5.73%,5.07%
Singapore,3.50%,4.52%,3.33%,2.99%,3.94%
Zimbabwe,3.50%,4.70%,0.76%,1.78%,2.38%
Israel,3.48%,3.56%,3.83%,2.22%,3.92%
Sierra Leone,3.45%,4.21%,6.06%,-20.60%,4.56%
Mozambique,3.44%,3.74%,3.82%,6.72%,7.40%
Comoros,3.43%,3.82%,3.32%,1.12%,2.10%
Ukraine,3.41%,2.47%,2.24%,-9.77%,-6.55%
Marshall Islands,3.35%,3.38%,1.03%,1.61%,-0.95%
American Samoa,3.34%,-6.99%,-1.68%,3.15%,1.76%
Guatemala,3.32%,3.08%,2.68%,4.09%,4.44%
Sri Lanka,3.27%,3.58%,4.49%,5.01%,4.96%
Greenland,3.22%,0.47%,4.68%,-2.53%,4.74%
New Zealand,3.21%,3.61%,3.73%,3.71%,3.81%
Paraguay,3.20%,4.81%,4.27%,2.96%,5.30%
Madagascar,3.20%,3.93%,3.99%,3.13%,3.34%
Czech Republic,3.20%,5.17%,2.54%,5.39%,2.26%
Belarus,3.15%,2.53%,-2.53%,-3.83%,1.73%
Morocco,3.15%,4.25%,1.06%,4.54%,2.67%
Luxembourg,3.11%,1.80%,4.57%,4.31%,4.30%
Bulgaria,3.09%,3.50%,3.82%,3.99%,1.89%
Bhutan,3.06%,4.65%,8.13%,6.64%,5.78%
Bahamas,3.03%,3.12%,1.44%,0.23%,1.05%
Switzerland,3.01%,1.58%,2.05%,1.66%,2.45%
United States,3.00%,2.33%,1.71%,3.08%,2.53%
Turkey,2.96%,7.50%,3.32%,6.08%,4.94%
Australia,2.95%,2.30%,2.77%,2.19%,2.53%
Sao Tome And Principe,2.95%,3.85%,4.16%,3.91%,6.55%
St. Kitts And Nevis,2.92%,-1.98%,2.83%,1.03%,6.28%
Belize,2.91%,1.81%,-0.03%,2.63%,4.04%
South Korea,2.91%,3.16%,2.95%,2.81%,3.20%
Vanuatu,2.90%,6.32%,4.69%,0.37%,3.13%
North Macedonia,2.88%,1.08%,2.85%,3.86%,3.63%
Portugal,2.85%,3.51%,2.02%,1.79%,0.79%
Hong Kong,2.85%,3.79%,2.17%,2.39%,2.76%
Sudan,2.82%,4.67%,3.57%,4.01%,7.04%
Croatia,2.81%,3.44%,3.50%,2.43%,-0.34%
Russia,2.81%,1.83%,0.19%,-1.97%,0.74%
Somalia,2.79%,1.39%,2.89%,3.46%,2.36%
Tunisia,2.66%,1.92%,1.25%,1.17%,2.87%
St. Lucia,2.64%,3.49%,3.99%,-1.36%,1.76%
Austria,2.58%,2.40%,1.99%,1.01%,0.66%
