Country Name,2018,2017,2016,2015,2014
Monaco,"$185,979","$167,517","$170,029","$165,990","$189,432"
Liechtenstein,"$180,367","$171,254","$165,642","$167,313","$178,865"
Luxembourg,"$116,654","$107,627","$104,349","$101,417","$118,982"
Bermuda,"$113,023","$111,821","$106,886","$102,006","$98,468"
Isle Of Man,"$89,113","$83,478","$82,197","$85,127","$92,335"
Macao,"$87,555","$81,045","$73,569","$74,839","$93,023"
Switzerland,"$86,430","$83,352","$83,073","$84,776","$89,685"
Cayman Islands,"$86,060","$81,513","$78,472","$76,284","$74,990"
Norway,"$82,268","$75,497","$70,461","$74,356","$97,019"
Ireland,"$79,336","$70,587","$63,037","$62,025","$55,661"
Iceland,"$74,348","$72,010","$61,988","$52,952","$54,577"
Singapore,"$66,679","$61,176","$56,848","$55,647","$57,563"
Qatar,"$65,908","$59,125","$57,163","$63,039","$83,858"
United States,"$63,064","$60,110","$58,021","$56,863","$55,050"
Faroe Islands,"$62,918","$59,993","$56,854","$52,400","$59,434"
Denmark,"$61,599","$57,610","$54,664","$53,255","$62,549"
Australia,"$57,355","$54,028","$49,971","$56,756","$62,511"
Sweden,"$54,589","$53,792","$51,965","$51,545","$60,020"
Greenland,"$54,471","$50,321","$48,182","$44,536","$50,485"
Netherlands,"$53,045","$48,675","$46,039","$45,193","$52,901"
Austria,"$51,478","$47,427","$45,308","$44,196","$51,786"
Finland,"$50,038","$46,412","$43,814","$42,802","$50,327"
San Marino,"$48,997","$45,399","$43,828","$42,663","$50,817"
Hong Kong,"$48,543","$46,166","$43,731","$42,432","$40,315"
Germany,"$47,811","$44,553","$42,136","$41,103","$48,024"
Belgium,"$47,578","$44,198","$42,013","$41,008","$47,764"
Canada,"$46,454","$45,129","$42,316","$43,596","$50,956"
UAE,"$43,839","$40,645","$38,142","$38,663","$43,752"
United Kingdom,"$42,996","$40,306","$41,048","$45,039","$47,452"
New Zealand,"$42,621","$43,226","$40,818","$37,464","$43,367"
Andorra,"$41,792","$38,965","$37,476","$35,771","$41,304"
Israel,"$41,705","$40,475","$37,283","$35,814","$37,738"
France,"$41,547","$38,781","$37,063","$36,653","$43,069"
Japan,"$39,159","$38,387","$38,762","$34,524","$38,109"
Virgin Islands (U.S.),"$37,233","$36,288","$36,023","$34,796","$33,574"
Guam,"$36,502","$36,602","$36,214","$35,829","$34,843"
Italy,"$34,626","$32,407","$30,961","$30,242","$35,566"
Bahamas,"$33,768","$32,720","$31,563","$31,296","$29,981"
South Korea,"$33,423","$31,617","$29,289","$28,732","$29,250"
