Country Name,2018,2017,2016,2015,2014
United States,"$20,611,860,934,000","$19,542,979,183,000","$18,745,075,687,000","$18,238,300,569,000","$17,527,163,695,000"
China,"$13,894,817,549,380","$12,310,409,370,894","$11,233,276,536,745","$11,061,553,079,872","$10,475,682,920,598"
Japan,"$4,954,806,619,995","$4,866,864,409,658","$4,922,538,141,455","$4,389,475,622,589","$4,850,413,536,038"
Germany,"$3,963,767,526,251","$3,682,602,479,929","$3,469,853,463,946","$3,357,585,719,352","$3,889,093,051,024"
United Kingdom,"$2,857,507,502,963","$2,662,572,824,912","$2,693,247,611,032","$2,932,784,751,846","$3,065,521,109,395"
France,"$2,787,863,958,885","$2,595,151,045,198","$2,472,964,344,587","$2,439,188,643,163","$2,855,964,488,590"
India,"$2,701,111,782,775","$2,651,472,946,375","$2,294,797,980,510","$2,103,587,813,812","$2,039,127,446,299"
Italy,"$2,092,138,739,020","$1,961,796,197,354","$1,877,071,687,634","$1,836,637,711,061","$2,162,009,615,997"
Brazil,"$1,916,947,014,068","$2,063,507,864,887","$1,795,700,168,991","$1,802,214,373,741","$2,455,993,625,159"
South Korea,"$1,724,845,615,629","$1,623,901,496,836","$1,500,111,596,236","$1,465,773,245,547","$1,484,318,219,634"
Canada,"$1,721,822,141,488","$1,649,265,644,244","$1,527,994,741,907","$1,556,508,816,217","$1,805,749,878,440"
Russia,"$1,657,328,865,710","$1,574,199,387,071","$1,276,786,979,222","$1,363,481,063,447","$2,059,241,965,491"
Australia,"$1,432,881,172,002","$1,329,188,475,752","$1,208,846,993,740","$1,351,693,984,525","$1,467,483,705,132"
Spain,"$1,422,153,839,841","$1,312,539,279,462","$1,232,912,963,206","$1,195,599,995,809","$1,371,222,712,536"
Mexico,"$1,222,348,807,283","$1,158,913,035,796","$1,078,490,651,625","$1,171,867,608,198","$1,315,351,183,525"
Indonesia,"$1,042,271,531,012","$1,015,618,742,566","$931,877,364,178","$860,854,235,065","$890,814,755,233"
Netherlands,"$914,043,438,180","$833,869,641,687","$784,060,430,240","$765,572,770,634","$892,167,986,714"
Saudi Arabia,"$786,521,831,573","$688,586,244,293","$644,935,541,440","$654,269,902,880","$756,350,347,333"
Turkey,"$778,377,023,569","$858,996,263,096","$869,692,960,366","$864,316,670,331","$938,952,628,604"
Switzerland,"$735,889,205,256","$704,478,516,964","$695,600,652,899","$702,149,580,771","$734,396,591,037"
Poland,"$587,408,980,272","$526,508,877,305","$472,630,364,208","$477,811,911,394","$542,477,096,212"
Sweden,"$555,455,371,487","$541,018,749,769","$515,654,671,470","$505,103,781,350","$581,964,017,237"
