Country Name,2018,2017,2016,2015,2014
United States,"$20,758,598,149,750","$19,332,396,438,380","$18,503,587,290,169","$18,200,095,600,169","$17,778,918,029,583"
China,"$13,371,980,315,786","$12,111,244,823,472","$11,398,879,076,649","$10,894,017,914,388","$10,246,603,763,270"
Japan,"$5,206,950,777,523","$4,880,259,852,107","$4,807,378,684,696","$4,937,689,540,395","$5,593,496,700,018"
Germany,"$3,912,538,696,014","$3,612,247,156,624","$3,646,622,511,936","$3,740,019,453,237","$3,858,305,761,472"
United Kingdom,"$2,773,944,009,278","$2,726,707,824,267","$2,817,212,463,462","$2,887,063,766,185","$2,868,437,687,902"
France,"$2,759,587,915,096","$2,564,093,695,580","$2,608,888,577,037","$2,737,258,262,085","$2,874,054,536,673"
India,"$2,714,026,333,737","$2,439,593,779,966","$2,226,423,513,887","$2,097,598,587,510","$2,020,999,036,100"
Italy,"$2,045,191,204,185","$1,899,255,125,725","$1,938,263,584,193","$2,004,023,402,928","$2,122,305,338,532"
Brazil,"$1,920,055,005,028","$1,808,497,783,401","$1,839,984,300,139","$2,084,231,874,786","$2,456,973,659,048"
South Korea,"$1,689,209,625,243","$1,556,023,587,983","$1,502,014,490,138","$1,465,056,826,482","$1,429,108,721,005"
Canada,"$1,666,207,912,132","$1,567,757,783,782","$1,584,894,209,394","$1,698,929,088,158","$1,849,732,831,787"
Russia,"$1,505,175,390,064","$1,352,318,413,599","$1,426,946,217,861","$1,725,234,228,654","$2,137,992,977,429"
Spain,"$1,373,915,170,430","$1,262,881,827,775","$1,280,824,054,673","$1,321,277,081,360","$1,354,649,553,279"
Australia,"$1,328,936,835,420","$1,268,539,634,473","$1,309,758,706,101","$1,440,831,947,977","$1,529,421,095,384"
Mexico,"$1,159,034,989,291","$1,112,621,185,283","$1,158,043,959,315","$1,238,464,109,255","$1,263,836,399,012"
Indonesia,"$1,028,158,607,203","$934,207,964,273","$890,493,674,187","$886,547,499,338","$922,995,728,689"
Netherlands,"$884,191,225,905","$807,915,999,414","$799,272,319,137","$844,405,073,078","$877,009,361,676"
Turkey,"$865,603,996,645","$890,153,263,734","$898,814,169,196","$944,503,328,288","$975,164,265,320"
Saudi Arabia,"$728,347,794,358","$661,786,907,041","$701,163,876,109","$752,172,439,560","$789,987,737,526"
Switzerland,"$723,998,509,934","$689,026,950,503","$713,364,401,913","$735,021,793,618","$732,045,339,430"
Sweden,"$566,178,268,213","$533,338,506,157","$539,460,644,709","$572,426,384,655","$599,863,549,335"
Argentina,"$550,426,447,800","$578,841,856,264","$532,590,253,762","$542,376,272,990","$525,940,080,584"
Poland,"$537,381,805,204","$483,489,673,113","$482,833,743,785","$505,436,775,261","$515,344,892,866"
Belgium,"$526,945,336,412","$483,560,379,335","$491,770,197,450","$513,773,921,719","$536,066,329,528"
Thailand,"$458,590,480,494","$412,965,294,985","$393,271,217,720","$392,055,010,604","$394,296,250,508"
Austria,"$433,993,910,368","$396,646,773,308","$403,990,836,646","$410,366,692,305","$430,664,017,438"
Norway,"$426,657,038,185","$399,221,195,957","$425,931,271,972","$482,081,719,703","$536,171,313,459"
UAE,"$399,411,711,534","$372,749,792,235","$379,778,722,985","$397,053,277,787","$408,498,689,468"
