,home,away,date,gh,ga,competition,home_country,away_country,home_code,away_code,score
111665,Auswahl Basel,London Xi,1955-06-04,0,5,UEFA EL,switzerland,england,CH,ENG,-1
112317,Sporting CP,Partizan,1955-09-04,3,3,UEFA CL,portugal,serbia,PT,RS,0
112395,Mtk Budapest,RSC Anderlecht,1955-09-07,6,3,UEFA CL,hungary,belgium,HU,BE,1
112396,Servette Geneve,Real Madrid,1955-09-08,0,2,UEFA CL,switzerland,spain,CH,ES,-1
112528,Rot Weiss Essen,Hibernian FC,1955-09-14,0,4,UEFA CL,germany,scotland,DE,SCO,-1
112644,Djurgardens If,Gwardia Warszawa,1955-09-20,0,0,UEFA CL,sweden,poland,SE,PL,0
112646,Aarhus Gf,Stade Reims,1955-09-21,0,2,UEFA CL,denmark,france,DK,FR,-1
112647,Rapid Wien,PSV Eindhoven,1955-09-21,6,1,UEFA CL,austria,netherlands,AT,NL,1
112992,Gwardia Warszawa,Djurgardens If,1955-10-12,1,4,UEFA CL,poland,sweden,PL,SE,-1
112993,Hibernian FC,Rot Weiss Essen,1955-10-12,1,1,UEFA CL,scotland,germany,SCO,DE,0
112994,Real Madrid,Servette Geneve,1955-10-12,5,0,UEFA CL,spain,switzerland,ES,CH,1
112995,Partizan,Sporting CP,1955-10-12,5,2,UEFA CL,serbia,portugal,RS,PT,1
113128,RSC Anderlecht,Mtk Budapest,1955-10-19,1,4,UEFA CL,belgium,hungary,BE,HU,-1
113252,Stade Reims,Aarhus Gf,1955-10-26,2,2,UEFA CL,france,denmark,FR,DK,0
113260,London Xi,Auswahl Frankfurt,1955-10-26,3,2,UEFA EL,england,germany,ENG,DE,1
113404,AC Milan,1 FC Saarbruecken,1955-11-01,3,4,UEFA CL,italy,germany,IT,DE,-1
113405,PSV Eindhoven,Rapid Wien,1955-11-01,1,0,UEFA CL,netherlands,austria,NL,AT,1
113741,1 FC Saarbruecken,AC Milan,1955-11-23,1,4,UEFA CL,germany,italy,DE,IT,-1
113742,Djurgardens If,Hibernian FC,1955-11-23,1,3,UEFA CL,sweden,scotland,SE,SCO,-1
113851,Hibernian FC,Djurgardens If,1955-11-28,1,0,UEFA CL,scotland,sweden,SCO,SE,1
114091,Stade Reims,Mtk Budapest,1955-12-14,4,2,UEFA CL,france,hungary,FR,HU,1
114185,Real Madrid,Partizan,1955-12-25,4,0,UEFA CL,spain,serbia,ES,RS,1
114186,FC Barcelona,Staevnet Koebenhavn,1955-12-25,6,2,UEFA EL,spain,denmark,ES,DK,1
114216,Mtk Budapest,Stade Reims,1955-12-28,4,4,UEFA CL,hungary,france,HU,FR,0
114444,Rapid Wien,AC Milan,1956-01-18,1,1,UEFA CL,austria,italy,AT,IT,0
114568,Partizan,Real Madrid,1956-01-29,3,0,UEFA CL,serbia,spain,RS,ES,1
114724,AC Milan,Rapid Wien,1956-02-12,7,2,UEFA CL,italy,austria,IT,AT,1
114988,Leipziger Auswahl,FC Lausanne Sport,1956-03-06,6,3,UEFA EL,germany,switzerland,DE,CH,1
115495,Stade Reims,Hibernian FC,1956-04-04,2,0,UEFA CL,france,scotland,FR,SCO,1
115778,Hibernian FC,Stade Reims,1956-04-18,0,1,UEFA CL,scotland,france,SCO,FR,-1
115788,Real Madrid,AC Milan,1956-04-19,4,2,UEFA CL,spain,italy,ES,IT,1
115919,Staevnet Koebenhavn,FC Barcelona,1956-04-26,1,1,UEFA EL,denmark,spain,DK,ES,0
116040,AC Milan,Real Madrid,1956-05-01,2,1,UEFA CL,italy,spain,IT,ES,1
116051,London Xi,Auswahl Basel,1956-05-04,1,0,UEFA EL,england,switzerland,ENG,CH,1
116256,Inter,Birmingham City,1956-05-15,0,0,UEFA EL,italy,england,IT,ENG,0
116348,Zagreb Xi,Birmingham City,1956-05-22,0,1,UEFA EL,croatia,england,HR,ENG,-1
116549,Zagreb Xi,Inter,1956-06-06,0,1,UEFA EL,croatia,italy,HR,IT,-1
116605,Real Madrid,Stade Reims,1956-06-13,4,3,UEFA CL,spain,france,ES,FR,1
116640,Auswahl Frankfurt,Auswahl Basel,1956-06-20,5,1,UEFA EL,germany,switzerland,DE,CH,1
116749,Borussia Dortmund,Spora Luxemburg,1956-08-01,4,3,UEFA CL,germany,luxembourg,DE,LU,1
116970,Dinamo Bucuresti,Galatasaray,1956-08-26,3,1,UEFA CL,romania,turkey,RO,TR,1
117184,Spora Luxemburg,Borussia Dortmund,1956-09-06,2,1,UEFA CL,luxembourg,germany,LU,DE,1
117317,Slovan Bratislava,Legia Warszawa,1956-09-12,4,0,UEFA CL,slovakia,poland,SK,PL,1
117318,RSC Anderlecht,Manchester United,1956-09-12,0,2,UEFA CL,belgium,england,BE,ENG,-1
117370,Borussia Dortmund,Spora Luxemburg,1956-09-16,7,0,UEFA CL,germany,luxembourg,DE,LU,1
117421,Aarhus Gf,OGC Nice,1956-09-19,1,1,UEFA CL,denmark,france,DK,FR,0
117422,Legia Warszawa,Slovan Bratislava,1956-09-19,2,0,UEFA CL,poland,slovakia,PL,SK,1
117424,FC Porto,Athletic Bilbao,1956-09-20,1,2,UEFA CL,portugal,spain,PT,ES,-1
117562,Athletic Bilbao,FC Porto,1956-09-26,3,2,UEFA CL,spain,portugal,ES,PT,1
117563,Manchester United,RSC Anderlecht,1956-09-26,10,0,UEFA CL,england,belgium,ENG,BE,1
117573,OGC Nice,Aarhus Gf,1956-09-27,5,1,UEFA CL,france,denmark,FR,DK,1
117633,Galatasaray,Dinamo Bucuresti,1956-09-30,2,1,UEFA CL,turkey,romania,TR,RO,1
117976,Manchester United,Borussia Dortmund,1956-10-17,3,2,UEFA CL,england,germany,ENG,DE,1
117977,CSKA Sofia,Dinamo Bucuresti,1956-10-17,8,1,UEFA CL,bulgaria,romania,BG,RO,1
