Name,Position,Age,Team_from,League_from,Country_From,Team_to,League_to,Country_to,Season,Market_value,Transfer_fee
Luís Figo,Right Winger,27,FC Barcelona,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,60000000
Hernán Crespo,Centre-Forward,25,Parma,Serie A,Italy,Lazio,Serie A,Italy,2000-2001,NA,56810000
Marc Overmars,Left Winger,27,Arsenal,Premier League,England,FC Barcelona,LaLiga,Spain,2000-2001,NA,40000000
Gabriel Batistuta,Centre-Forward,31,Fiorentina,Serie A,Italy,AS Roma,Serie A,Italy,2000-2001,NA,36150000
Nicolas Anelka,Centre-Forward,21,Real Madrid,LaLiga,Spain,Paris SG,Ligue 1,France,2000-2001,NA,34500000
Rio Ferdinand,Centre-Back,22,West Ham,Premier League,England,Leeds,Premier League,England,2000-2001,NA,26000000
Flávio Conceicao,Central Midfield,26,Dep. La Coruña,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,25000000
Savo Milosevic,Centre-Forward,26,Real Zaragoza,LaLiga,Spain,Parma,Serie A,Italy,2000-2001,NA,25000000
David Trézéguet,Centre-Forward,22,Monaco,Ligue 1,France,Juventus,Serie A,Italy,2000-2001,NA,23240000
Claudio López,Centre-Forward,25,Valencia CF,LaLiga,Spain,Lazio,Serie A,Italy,2000-2001,NA,23000000
Jimmy Floyd Hasselbaink,Centre-Forward,28,Atlético Madrid,LaLiga2,Spain,Chelsea,Premier League,England,2000-2001,NA,22500000
Gerard López,Central Midfield,21,Valencia CF,LaLiga,Spain,FC Barcelona,LaLiga,Spain,2000-2001,NA,21600000
Lucas,Centre-Forward,21,Atlético-PR,Brazil,Brazil,Stade Rennais,Ligue 1,France,2000-2001,NA,21300000
Pablo Aimar,Attacking Midfield,21,River Plate,Argentina,Argentina,Valencia CF,LaLiga,Spain,2000-2001,NA,21250000
Wálter Samuel,Centre-Back,22,Boca Juniors,Argentina,Argentina,AS Roma,Serie A,Italy,2000-2001,NA,20800000
Shabani Nonda,Centre-Forward,23,Stade Rennais,Ligue 1,France,Monaco,Ligue 1,France,2000-2001,NA,20000000
Robbie Keane,Centre-Forward,19,Coventry City,Premier League,England,Inter,Serie A,Italy,2000-2001,NA,19500000
José Mari,Centre-Forward,21,Atlético Madrid,LaLiga2,Spain,AC Milan,Serie A,Italy,2000-2001,NA,19000000
Jonathan Zebina,Centre-Back,21,Cagliari Calcio,Serie B,Italy,AS Roma,Serie A,Italy,2000-2001,NA,18400000
Émerson,Defensive Midfield,24,Bay. Leverkusen,1.Bundesliga,German,AS Roma,Serie A,Italy,2000-2001,NA,18000000
Tore André Flo,Centre-Forward,27,Chelsea,Premier League,England,Rangers,Scotland,Scotland,2000-2001,NA,18000000
Sergiy Rebrov,Second Striker,26,Dynamo Kyiv,Premier Liga,Russia,Spurs,Premier League,England,2000-2001,NA,18000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Italy,Lazio,Serie A,Italy,2000-2001,NA,17900000
Diego Tristán,Centre-Forward,24,RCD Mallorca,LaLiga,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,17750000
Sylvain Wiltord,Second Striker,26,G. Bordeaux,Ligue 1,France,Arsenal,Premier League,England,2000-2001,NA,17500000
Fernando Redondo,Defensive Midfield,31,Real Madrid,LaLiga,Spain,AC Milan,Serie A,Italy,2000-2001,NA,17500000
Jardel,Centre-Forward,26,FC Porto,Liga NOS,Portugal,Galatasaray,Süper Lig,Turkey,2000-2001,NA,17050000
Nuno Gomes,Centre-Forward,24,Benfica,Liga NOS,Portugal,Fiorentina,Serie A,Italy,2000-2001,NA,17000000
Sérgio Conceição,Right Winger,25,Lazio,Serie A,Italy,Parma,Serie A,Italy,2000-2001,NA,17000000
Alfonso,Centre-Forward,27,Real Betis,LaLiga2,Spain,FC Barcelona,LaLiga,Spain,2000-2001,NA,16500000
Francisco Farinós,Defensive Midfield,22,Valencia CF,LaLiga,Spain,Inter,Serie A,Italy,2000-2001,NA,16250000
Kakhaber Kaladze,Centre-Back,22,Dynamo Kyiv,Premier Liga,Russia,AC Milan,Serie A,Italy,2000-2001,NA,16000000
Francis Jeffers,Centre-Forward,20,Everton,Premier League,England,Arsenal,Premier League,England,2000-2001,NA,15300000
Emmanuel Petit,Defensive Midfield,29,Arsenal,Premier League,England,FC Barcelona,LaLiga,Spain,2000-2001,NA,15000000
Tomás Rosicky,Attacking Midfield,20,Sparta Praha,Czech Republic,Czech Republic,Bor. Dortmund,1.Bundesliga,Germany,2000-2001,NA,14500000
Catanha,Centre-Forward,28,Málaga CF,LaLiga,Spain,Celta de Vigo,LaLiga,Spain,2000-2001,NA,14420000
Juan Pablo Ángel,Centre-Forward,25,River Plate,Argentina,Argentina,Aston Villa,Premier League,England,2000-2001,NA,14400000
Mateja Kezman,Centre-Forward,21,Partizan,Serbia,Serbia,PSV Eindhoven,Eredivisie,Netherlands,2000-2001,NA,14000000
Claude Makélélé,Defensive Midfield,27,Celta de Vigo,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,14000000
Aldo Duscher,Defensive Midfield,21,Sporting CP,Liga NOS,Portugal,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,13000000
Ugo Ehiogu,Centre-Back,27,Aston Villa,Premier League,England,Middlesbrough,Premier League,England,2000-2001,NA,12200000
Jesper Grönkjaer,Left Winger,23,AFC Ajax,Eredivisie,Netherlands,Chelsea,Premier League,England,2000-2001,NA,11850000
Fabien Barthez,Goalkeeper,29,Monaco,Ligue 1,France,Man Utd,Premier League,England,2000-2001,NA,11700000
Edmílson,Centre-Back,23,São Paulo,Brazil,Brazil,Olympique Lyon,Ligue 1,France,2000-2001,NA,11000000
Stéphane Dalmat,Central Midfield,21,Marseille,Ligue 1,France,Paris SG,Ligue 1,France,2000-2001,NA,10750000
Laurén,Right-Back,23,RCD Mallorca,LaLiga,Spain,Arsenal,Premier League,England,2000-2001,NA,10700000
Pedro Munitis,Second Striker,25,Racing,LaLiga,Spain,Real Madrid,LaLiga,Spain,2000-2001,NA,10500000
Olivier Dacourt,Defensive Midfield,25,Lens,Ligue 1,France,Leeds,Premier League,England,2000-2001,NA,10500000
Carl Cort,Centre-Forward,22,MK Dons,England,England,Newcastle,Premier League,England,2000-2001,NA,10500000
Stéphane Porato,Goalkeeper,26,Marseille,Ligue 1,France,Monaco,Ligue 1,France,2000-2001,NA,10500000
Robert Pirès,Left Midfield,26,Marseille,Ligue 1,France,Arsenal,Premier League,England,2000-2001,NA,9800000
Émerson,Defensive Midfield,28,CD Tenerife,LaLiga2,Spain,Dep. La Coruña,LaLiga,Spain,2000-2001,NA,9600000
Chris Sutton,Centre-Forward,27,Chelsea,Premier League,England,Celtic,Scotland,Scotland,2000-2001,NA,9500000
