country,weekly_count,year_week
Albania,2,2020-10
Albania,40,2020-11
Albania,47,2020-12
Albania,123,2020-13
Albania,149,2020-14
Albania,85,2020-15
Albania,116,2020-16
Albania,164,2020-17
Albania,69,2020-18
Albania,73,2020-19
Albania,78,2020-20
Albania,52,2020-21
Albania,139,2020-22
Albania,109,2020-23
Albania,275,2020-24
Albania,406,2020-25
Albania,475,2020-26
Albania,491,2020-27
Albania,561,2020-28
Albania,636,2020-29
Albania,673,2020-30
Albania,756,2020-31
Albania,892,2020-32
Albania,969,2020-33
Albania,1047,2020-34
Albania,953,2020-35
Albania,875,2020-36
Albania,1098,2020-37
Albania,1032,2020-38
Albania,874,2020-39
Albania,1007,2020-40
Albania,1133,2020-41
Albania,1656,2020-42
Albania,2102,2020-43
Albania,2045,2020-44
Albania,3004,2020-45
Albania,3624,2020-46
Albania,4931,2020-47
Albania,4864,2020-48
Albania,5363,2020-49
Albania,5542,2020-50
Albania,4473,2020-51
Albania,3569,2020-52
Albania,2866,2020-53
Albania,4157,2021-01
Albania,4095,2021-02
Albania,4584,2021-03
Albania,5853,2021-04
Albania,7209,2021-05
Albania,7739,2021-06
Albania,7171,2021-07
Albania,6921,2021-08
Albania,5730,2021-09
Albania,4577,2021-10
Albania,3726,2021-11
Albania,2934,2021-12
Albania,2397,2021-13
Albania,1862,2021-14
Albania,1201,2021-15
Albania,943,2021-16
Albania,701,2021-17
Albania,485,2021-18
Albania,292,2021-19
Albania,194,2021-20
Albania,100,2021-21
Albania,70,2021-22
Albania,82,2021-23
Albania,29,2021-24
Albania,22,2021-25
Albania,23,2021-26
Albania,57,2021-27
Albania,94,2021-28
Albania,171,2021-29
Albania,264,2021-30
Albania,791,2021-31
Albania,2035,2021-32
Albania,3377,2021-33
Albania,5523,2021-34
Albania,6150,2021-35
Albania,6029,2021-36
Albania,5927,2021-37
Albania,4940,2021-38
Albania,3901,2021-39
Albania,3174,2021-40
Albania,3003,2021-41
Andorra,5,2020-11
Andorra,108,2020-12
Andorra,221,2020-13
Andorra,167,2020-14
Andorra,137,2020-15
Andorra,75,2020-16
Andorra,27,2020-17
Andorra,8,2020-18
Andorra,7,2020-19
Andorra,6,2020-20
Andorra,2,2020-21
Andorra,1,2020-22
Andorra,88,2020-23
Andorra,1,2020-24
Andorra,2,2020-25
Andorra,0,2020-26
Andorra,0,2020-27
Andorra,0,2020-28
Andorra,25,2020-29
Andorra,17,2020-30
Andorra,28,2020-31
Andorra,31,2020-32
Andorra,33,2020-33
Andorra,56,2020-34
Andorra,79,2020-35
Andorra,91,2020-36
Andorra,129,2020-37
Andorra,220,2020-38
Andorra,272,2020-39
Andorra,274,2020-40
Andorra,586,2020-41
Andorra,681,2020-42
