country,year_month,monthly_count
Albania,2020-03,89
Albania,2020-04,637
Albania,2020-05,272
Albania,2020-06,1404
Albania,2020-07,2361
Albania,2020-08,4617
Albania,2020-09,3879
Albania,2020-10,7943
Albania,2020-11,16423
Albania,2020-12,21813
Albania,2021-01,18689
Albania,2021-02,29040
Albania,2021-03,16967
Albania,2021-04,7104
Albania,2021-05,1071
Albania,2021-06,226
Albania,2021-07,586
Albania,2021-08,17876
Albania,2021-09,20797
Albania,2021-10,6177
Andorra,2020-03,113
Andorra,2020-04,627
Andorra,2020-05,23
Andorra,2020-06,92
Andorra,2020-07,42
Andorra,2020-08,227
Andorra,2020-09,712
Andorra,2020-10,2989
Andorra,2020-11,1887
Andorra,2020-12,1480
Andorra,2021-01,1745
Andorra,2021-02,952
Andorra,2021-03,961
Andorra,2021-04,1445
Andorra,2021-05,432
Andorra,2021-06,264
Andorra,2021-07,756
Andorra,2021-08,322
Andorra,2021-09,198
Andorra,2021-10,100
Armenia,2020-01,0
Armenia,2020-02,0
Armenia,2020-03,194
Armenia,2020-04,1614
Armenia,2020-05,5305
Armenia,2020-06,18014
Armenia,2020-07,12263
Armenia,2020-08,6360
Armenia,2020-09,5650
Armenia,2020-10,44048
Armenia,2020-11,41676
Armenia,2020-12,25096
Armenia,2021-01,6868
Armenia,2021-02,5128
Armenia,2021-03,18525
Armenia,2021-04,26267
Armenia,2021-05,5662
Armenia,2021-06,2936
Armenia,2021-07,4870
Armenia,2021-08,14788
Armenia,2021-09,20053
Armenia,2021-10,17866
Austria,2020-01,0
Austria,2020-02,0
Austria,2020-03,3631
Austria,2020-04,11558
Austria,2020-05,1250
Austria,2020-06,1186
Austria,2020-07,2861
Austria,2020-08,6732
Austria,2020-09,16248
Austria,2020-10,67644
Austria,2020-11,167072
Austria,2020-12,86392
Austria,2021-01,46411
Austria,2021-02,45127
Austria,2021-03,77399
Austria,2021-04,84835
Austria,2021-05,22182
Austria,2021-06,6090
Austria,2021-07,8527
Austria,2021-08,37422
Austria,2021-09,52315
Austria,2021-10,27462
Azerbaijan,2020-01,0
Azerbaijan,2020-02,0
Azerbaijan,2020-03,65
Azerbaijan,2020-04,1580
Azerbaijan,2020-05,2477
Azerbaijan,2020-06,12302
Azerbaijan,2020-07,13626
Azerbaijan,2020-08,6259
Azerbaijan,2020-09,3714
Azerbaijan,2020-10,16421
Azerbaijan,2020-11,61751
Azerbaijan,2020-12,102070
Azerbaijan,2021-01,9954
Azerbaijan,2021-02,4443
Azerbaijan,2021-03,22668
Azerbaijan,2021-04,64468
Azerbaijan,2021-05,12066
Azerbaijan,2021-06,2553
Azerbaijan,2021-07,8103
Azerbaijan,2021-08,98352
Azerbaijan,2021-09,43506
Azerbaijan,2021-10,15829
Belarus,2020-01,0
Belarus,2020-02,0
Belarus,2020-03,76
Belarus,2020-04,10387
Belarus,2020-05,25735
Belarus,2020-06,25277
Belarus,2020-07,5657
Belarus,2020-08,4555
Belarus,2020-09,5922
Belarus,2020-10,21850
Belarus,2020-11,35549
Belarus,2020-12,64954
Belarus,2021-01,48374
Belarus,2021-02,39931
Belarus,2021-03,30414
Belarus,2021-04,43216
Belarus,2021-05,32542
Belarus,2021-06,26911
Belarus,2021-07,26404
Belarus,2021-08,44645
Belarus,2021-09,51577
Belarus,2021-10,29967
Belgium,2020-01,0
Belgium,2020-02,343
Belgium,2020-03,5085
Belgium,2020-04,42665
Belgium,2020-05,9727
Belgium,2020-06,3937
Belgium,2020-07,5215
Belgium,2020-08,18424
Belgium,2020-09,31195
Belgium,2020-10,334948
Belgium,2020-11,126546
Belgium,2020-12,73886
Belgium,2021-01,61525
Belgium,2021-02,60925
