country,weekly_count,year_week,year_month
Albania,2,2020-10,2020-03
Albania,40,2020-11,2020-03
Albania,47,2020-12,2020-03
Albania,123,2020-13,2020-04
Albania,149,2020-14,2020-04
Albania,85,2020-15,2020-04
Albania,116,2020-16,2020-04
Albania,164,2020-17,2020-04
Albania,69,2020-18,2020-05
Albania,73,2020-19,2020-05
Albania,78,2020-20,2020-05
Albania,52,2020-21,2020-05
Albania,139,2020-22,2020-06
Albania,109,2020-23,2020-06
Albania,275,2020-24,2020-06
Albania,406,2020-25,2020-06
Albania,475,2020-26,2020-06
Albania,491,2020-27,2020-07
Albania,561,2020-28,2020-07
Albania,636,2020-29,2020-07
Albania,673,2020-30,2020-07
Albania,756,2020-31,2020-08
Albania,892,2020-32,2020-08
Albania,969,2020-33,2020-08
Albania,1047,2020-34,2020-08
Albania,953,2020-35,2020-08
Albania,875,2020-36,2020-09
Albania,1098,2020-37,2020-09
Albania,1032,2020-38,2020-09
Albania,874,2020-39,2020-09
Albania,1007,2020-40,2020-10
Albania,1133,2020-41,2020-10
Albania,1656,2020-42,2020-10
Albania,2102,2020-43,2020-10
Albania,2045,2020-44,2020-10
Albania,3004,2020-45,2020-11
Albania,3624,2020-46,2020-11
Albania,4931,2020-47,2020-11
Albania,4864,2020-48,2020-11
Albania,5363,2020-49,2020-12
Albania,5542,2020-50,2020-12
Albania,4473,2020-51,2020-12
Albania,3569,2020-52,2020-12
Albania,2866,2020-53,2020-12
Albania,4157,2021-01,2021-01
Albania,4095,2021-02,2021-01
Albania,4584,2021-03,2021-01
Albania,5853,2021-04,2021-01
Albania,7209,2021-05,2021-02
Albania,7739,2021-06,2021-02
Albania,7171,2021-07,2021-02
Albania,6921,2021-08,2021-02
Albania,5730,2021-09,2021-03
Albania,4577,2021-10,2021-03
Albania,3726,2021-11,2021-03
Albania,2934,2021-12,2021-03
Albania,2397,2021-13,2021-04
Albania,1862,2021-14,2021-04
Albania,1201,2021-15,2021-04
Albania,943,2021-16,2021-04
Albania,701,2021-17,2021-04
Albania,485,2021-18,2021-05
Albania,292,2021-19,2021-05
Albania,194,2021-20,2021-05
Albania,100,2021-21,2021-05
Albania,70,2021-22,2021-06
Albania,82,2021-23,2021-06
Albania,29,2021-24,2021-06
Albania,22,2021-25,2021-06
Albania,23,2021-26,2021-06
Albania,57,2021-27,2021-07
Albania,94,2021-28,2021-07
Albania,171,2021-29,2021-07
Albania,264,2021-30,2021-07
Albania,791,2021-31,2021-08
Albania,2035,2021-32,2021-08
Albania,3377,2021-33,2021-08
Albania,5523,2021-34,2021-08
Albania,6150,2021-35,2021-08
Albania,6029,2021-36,2021-09
Albania,5927,2021-37,2021-09
Albania,4940,2021-38,2021-09
Albania,3901,2021-39,2021-09
Albania,3174,2021-40,2021-10
Albania,3003,2021-41,2021-10
Andorra,5,2020-11,2020-03
Andorra,108,2020-12,2020-03
Andorra,221,2020-13,2020-04
Andorra,167,2020-14,2020-04
Andorra,137,2020-15,2020-04
Andorra,75,2020-16,2020-04
Andorra,27,2020-17,2020-04
Andorra,8,2020-18,2020-05
Andorra,7,2020-19,2020-05
Andorra,6,2020-20,2020-05
Andorra,2,2020-21,2020-05
Andorra,1,2020-22,2020-06
Andorra,88,2020-23,2020-06
Andorra,1,2020-24,2020-06
Andorra,2,2020-25,2020-06
Andorra,0,2020-26,2020-06
Andorra,0,2020-27,2020-07
Andorra,0,2020-28,2020-07
Andorra,25,2020-29,2020-07
Andorra,17,2020-30,2020-07
Andorra,28,2020-31,2020-08
Andorra,31,2020-32,2020-08
Andorra,33,2020-33,2020-08
Andorra,56,2020-34,2020-08
Andorra,79,2020-35,2020-08
Andorra,91,2020-36,2020-09
Andorra,129,2020-37,2020-09
Andorra,220,2020-38,2020-09
Andorra,272,2020-39,2020-09
Andorra,274,2020-40,2020-10
Andorra,586,2020-41,2020-10
Andorra,681,2020-42,2020-10
