date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner,winner_loc
2010-03-03,Austria,Denmark,2,1,Friendly,Vienna,Austria,False,Austria,Home
2010-03-03,Belgium,Croatia,0,1,Friendly,Brussels,Belgium,False,Croatia,Away
2010-03-03,France,Spain,0,2,Friendly,Saint-Denis,France,False,Spain,Away
2010-03-03,Malta,Finland,1,2,Friendly,Attard,Malta,False,Finland,Away
2010-03-03,Poland,Bulgaria,2,0,Friendly,Warsaw,Poland,False,Poland,Home
2010-05-13,Germany,Malta,3,0,Friendly,Aachen,Germany,False,Germany,Home
2010-05-19,Austria,Croatia,0,1,Friendly,Klagenfurt,Austria,False,Croatia,Away
2010-05-19,Belgium,Bulgaria,2,1,Friendly,Brussels,Belgium,False,Belgium,Home
2010-05-21,Estonia,Finland,2,0,Friendly,Tallinn,Estonia,False,Estonia,Home
2010-05-26,Estonia,Croatia,0,0,Friendly,Tallinn,Estonia,False,Tie,Tie
2010-05-29,Hungary,Germany,0,3,Friendly,Budapest,Hungary,False,Germany,Away
2010-05-29,Poland,Finland,0,0,Friendly,Kielce,Poland,False,Tie,Tie
2010-06-05,Netherlands,Hungary,6,1,Friendly,Amsterdam,Netherlands,False,Netherlands,Home
2010-06-08,Spain,Poland,6,0,Friendly,Murcia,Spain,False,Spain,Home
2010-06-14,Netherlands,Denmark,2,0,FIFA World Cup,Johannesburg,South Africa,True,Netherlands,Home
2010-06-18,Lithuania,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,False,Tie,Tie
2010-06-19,Estonia,Latvia,0,0,Baltic Cup,Kaunas,Lithuania,True,Tie,Tie
2010-06-20,Lithuania,Estonia,2,0,Baltic Cup,Kaunas,Lithuania,False,Lithuania,Home
2010-06-24,Slovakia,Italy,3,2,FIFA World Cup,Johannesburg,South Africa,True,Slovakia,Home
2010-06-28,Netherlands,Slovakia,2,1,FIFA World Cup,Durban,South Africa,True,Netherlands,Home
2010-06-29,Spain,Portugal,1,0,FIFA World Cup,Cape Town,South Africa,True,Spain,Home
2010-07-07,Germany,Spain,0,1,FIFA World Cup,Durban,South Africa,True,Spain,Away
2010-07-11,Netherlands,Spain,0,1,FIFA World Cup,Johannesburg,South Africa,True,Spain,Away
2010-08-11,Denmark,Germany,2,2,Friendly,Copenhagen,Denmark,False,Tie,Tie
2010-08-11,Finland,Belgium,1,0,Friendly,Turku,Finland,False,Finland,Home
2010-08-11,Slovakia,Croatia,1,1,Friendly,Bratislava,Slovakia,False,Tie,Tie
2010-09-03,Belgium,Germany,0,1,UEFA Euro qualification,Brussels,Belgium,False,Germany,Away
2010-09-03,Estonia,Italy,1,2,UEFA Euro qualification,Tallinn,Estonia,False,Italy,Away
2010-09-03,Latvia,Croatia,0,3,UEFA Euro qualification,Riga,Latvia,False,Croatia,Away
2010-09-03,Portugal,Cyprus,4,4,UEFA Euro qualification,Guimarães,Portugal,False,Tie,Tie
2010-09-03,Sweden,Hungary,2,0,UEFA Euro qualification,Solna,Sweden,False,Sweden,Home
2010-09-07,Croatia,Greece,0,0,UEFA Euro qualification,Zagreb,Croatia,False,Tie,Tie
2010-09-07,Malta,Latvia,0,2,UEFA Euro qualification,Attard,Malta,False,Latvia,Away
2010-09-07,Netherlands,Finland,2,1,UEFA Euro qualification,Rotterdam,Netherlands,False,Netherlands,Home
2010-10-08,Greece,Latvia,1,0,UEFA Euro qualification,Piraeus,Greece,False,Greece,Home
2010-10-08,Portugal,Denmark,3,1,UEFA Euro qualification,Porto,Portugal,False,Portugal,Home
2010-10-08,Spain,Lithuania,3,1,UEFA Euro qualification,Salamanca,Spain,False,Spain,Home
2010-10-09,France,Romania,2,0,UEFA Euro qualification,Saint-Denis,France,False,France,Home
2010-10-12,Belgium,Austria,4,4,UEFA Euro qualification,Brussels,Belgium,False,Tie,Tie
2010-10-12,Denmark,Cyprus,2,0,UEFA Euro qualification,Copenhagen,Denmark,False,Denmark,Home
2010-10-12,Estonia,Slovenia,0,1,UEFA Euro qualification,Tallinn,Estonia,False,Slovenia,Away
2010-10-12,Finland,Hungary,1,2,UEFA Euro qualification,Helsinki,Finland,False,Hungary,Away
2010-10-12,France,Luxembourg,2,0,UEFA Euro qualification,Metz,France,False,France,Home
2010-10-12,Netherlands,Sweden,4,1,UEFA Euro qualification,Amsterdam,Netherlands,False,Netherlands,Home
2010-11-17,Austria,Greece,1,2,Friendly,Vienna,Austria,False,Greece,Away
2010-11-17,Croatia,Malta,3,0,UEFA Euro qualification,Zagreb,Croatia,False,Croatia,Home
2010-11-17,Hungary,Lithuania,2,0,Friendly,Székesfehérvár,Hungary,False,Hungary,Home
2010-11-17,Italy,Romania,1,1,Friendly,Klagenfurt,Austria,True,Tie,Tie
2010-11-17,Portugal,Spain,4,0,Friendly,Lisbon,Portugal,False,Portugal,Home
2010-11-17,Sweden,Germany,0,0,Friendly,Gothenburg,Sweden,False,Tie,Tie
2011-02-08,Cyprus,Sweden,0,2,Cyprus International Tournament,Nicosia,Cyprus,False,Sweden,Away
2011-02-09,Belgium,Finland,1,1,Friendly,Ghent,Belgium,False,Tie,Tie
2011-02-09,Cyprus,Romania,1,1,Cyprus International Tournament,Paralímni,Cyprus,False,Tie,Tie
2011-02-09,Germany,Italy,1,1,Friendly,Dortmund,Germany,False,Tie,Tie
2011-02-09,Luxembourg,Slovakia,2,1,Friendly,Luxembourg,Luxembourg,False,Luxembourg,Home
2011-02-09,Netherlands,Austria,3,1,Friendly,Eindhoven,Netherlands,False,Netherlands,Home
2011-03-25,Austria,Belgium,0,2,UEFA Euro qualification,Vienna,Austria,False,Belgium,Away
2011-03-25,Hungary,Netherlands,0,4,UEFA Euro qualification,Budapest,Hungary,False,Netherlands,Away
2011-03-25,Lithuania,Poland,2,0,Friendly,Kaunas,Lithuania,False,Lithuania,Home
2011-03-25,Luxembourg,France,0,2,UEFA Euro qualification,Luxembourg,Luxembourg,False,France,Away
2011-03-25,Slovenia,Italy,0,1,UEFA Euro qualification,Ljubljana,Slovenia,False,Italy,Away
2011-03-26,Malta,Greece,0,1,UEFA Euro qualification,Attard,Malta,False,Greece,Away
2011-03-29,Cyprus,Bulgaria,0,1,Friendly,Larnaca,Cyprus,False,Bulgaria,Away
2011-03-29,France,Croatia,0,0,Friendly,Saint-Denis,France,False,Tie,Tie
2011-03-29,Greece,Poland,0,0,Friendly,Piraeus,Greece,False,Tie,Tie
2011-03-29,Lithuania,Spain,1,3,UEFA Euro qualification,Kaunas,Lithuania,False,Spain,Away
2011-03-29,Netherlands,Hungary,5,3,UEFA Euro qualification,Amsterdam,Netherlands,False,Netherlands,Home
2011-03-29,Portugal,Finland,2,0,Friendly,Aveiro,Portugal,False,Portugal,Home
2011-03-29,Romania,Luxembourg,3,1,UEFA Euro qualification,Piatra Neamţ,Romania,False,Romania,Home
2011-03-29,Slovakia,Denmark,1,2,Friendly,Trnava,Slovakia,False,Denmark,Away
2011-06-03,Austria,Germany,1,2,UEFA Euro qualification,Vienna,Austria,False,Germany,Away
2011-06-03,Italy,Estonia,3,0,UEFA Euro qualification,Modena,Italy,False,Italy,Home
