country,year,employed
Austria,2011,251000
Austria,2012,240000
Austria,2013,258000
Austria,2014,278000
Austria,2015,359000
Austria,2016,279000
Austria,2017,263000
Austria,2018,241000
Austria,2019,309000
Austria,2020,300000
Belgium,2011,235000
Belgium,2012,223000
Belgium,2013,210000
Belgium,2014,201000
Belgium,2015,194000
Belgium,2016,235000
Belgium,2017,231000
Belgium,2018,235000
Belgium,2019,240000
Belgium,2020,277000
Bulgaria,2011,102000
Bulgaria,2012,86000
Bulgaria,2013,90000
Bulgaria,2014,93000
Bulgaria,2015,106000
Bulgaria,2016,115000
Bulgaria,2017,133000
Bulgaria,2018,128000
Bulgaria,2019,144000
Bulgaria,2020,133000
Cyprus,2011,32000
Cyprus,2012,21000
Cyprus,2013,19000
Cyprus,2014,21000
Cyprus,2015,19000
Cyprus,2016,28000
Cyprus,2017,29000
Cyprus,2018,25000
Cyprus,2019,30000
Cyprus,2020,36000
Czechia,2011,259000
Czechia,2012,222000
Czechia,2013,251000
Czechia,2014,290000
Czechia,2015,273000
Czechia,2016,314000
Czechia,2017,331000
Czechia,2018,341000
Czechia,2019,356000
Czechia,2020,293000
Germany,2011,1733000
Germany,2012,2043000
Germany,2013,2182000
Germany,2014,2188000
Germany,2015,2242000
Germany,2016,2433000
Germany,2017,2533000
Germany,2018,2548000
Germany,2019,2623000
Germany,2020,2338000
Denmark,2011,257000
Denmark,2012,254000
Denmark,2013,234000
Denmark,2014,271000
Denmark,2015,286000
Denmark,2016,285000
Denmark,2017,263000
Denmark,2018,281000
Denmark,2019,304000
Denmark,2020,266000
Estonia,2011,34000
Estonia,2012,40000
Estonia,2013,51000
Estonia,2014,63000
Estonia,2015,49000
Estonia,2016,56000
Estonia,2017,52000
Estonia,2018,54000
Estonia,2019,61000
Estonia,2020,45000
Greece,2011,124000
Greece,2012,82000
Greece,2013,97000
Greece,2014,142000
Greece,2015,156000
Greece,2016,173000
Greece,2017,199000
Greece,2018,213000
Greece,2019,211000
Greece,2020,255000
Spain,2011,1475000
Spain,2012,1595000
Spain,2013,1628000
Spain,2014,1872000
Spain,2015,1866000
Spain,2016,1930000
Spain,2017,1997000
Spain,2018,2106000
Spain,2019,2162000
Spain,2020,1997000
Finland,2011,235000
Finland,2012,237000
Finland,2013,258000
Finland,2014,308000
Finland,2015,307000
Finland,2016,306000
Finland,2017,312000
